org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/linter.pp,1,0,13,0,0,0,2,3,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/visualeditor_wikimedia.pp,0,0,32,0,0,9,6,3,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikibase_repo.pp,0,0,40,1,0,3,6,9,20,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/echo.pp,0,0,103,6,0,5,26,41,16,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/cirrussearch.pp,1,3,77,2,3,10,22,27,8,0,2,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/antispam.pp,0,0,14,0,0,3,2,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mathsearch.pp,0,0,18,1,0,2,3,3,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/timeless.pp,1,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/testwiki.pp,0,0,8,1,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/lockdown.pp,0,0,16,0,0,1,2,4,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/kartographer.pp,0,0,11,0,0,2,1,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/newsletter.pp,0,0,7,0,0,0,1,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mobileapp.pp,0,0,11,1,0,2,1,2,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/payments.pp,0,0,11,2,0,1,0,0,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/fundraising.pp,0,0,12,0,0,6,0,0,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/openbadges.pp,0,0,7,0,0,0,1,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/three_d.pp,2,0,19,1,0,2,2,7,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mailgun.pp,0,0,8,0,0,0,2,2,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/oauthauthentication.pp,3,0,27,0,0,0,10,6,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/syntaxhighlight.pp,0,1,15,1,0,0,3,4,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/notebook.pp,0,0,16,0,1,0,2,4,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/multimedia.pp,1,1,38,1,0,1,12,8,12,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/contenttranslation.pp,2,2,45,0,0,10,0,7,34,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/greystuff.pp,1,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/torblock.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/eventbus.pp,0,1,21,0,0,1,2,3,12,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/poolcounter.pp,0,0,27,2,1,0,6,12,5,0,0,0
