org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
OPENSTACK,puppet-barbican/manifests/plugins/vault.pp,0,1,62,0,0,1,9,24,38,0,0,0
OPENSTACK,puppet-barbican/manifests/keystone/auth.pp,6,0,125,0,0,1,18,31,80,0,0,0
OPENSTACK,puppet-barbican/manifests/keystone/notification.pp,0,0,83,0,3,2,14,24,34,0,0,0
OPENSTACK,puppet-barbican/manifests/keystone/authtoken.pp,4,1,283,0,1,1,37,81,196,0,0,0
OPENSTACK,puppet-barbican/examples/init.pp,1,0,12,0,0,1,0,0,11,0,0,0
OPENSTACK,puppet-ceilometer/manifests/config.pp,0,0,36,0,0,1,2,6,27,0,0,0
OPENSTACK,puppet-ceilometer/manifests/coordination.pp,0,0,35,0,2,1,3,6,20,0,0,0
OPENSTACK,puppet-ceilometer/manifests/reports.pp,0,2,32,0,0,1,3,7,19,0,0,0
OPENSTACK,puppet-ceilometer/manifests/params.pp,0,0,70,0,0,1,0,47,9,0,0,0
OPENSTACK,puppet-ceilometer/manifests/cache.pp,0,5,310,0,0,1,40,86,221,0,0,0
OPENSTACK,puppet-ceilometer/manifests/logging.pp,1,2,144,0,0,1,19,61,99,0,0,0
OPENSTACK,puppet-ceilometer/manifests/deps.pp,0,1,42,0,1,0,0,21,14,0,0,0
OPENSTACK,puppet-ceilometer/manifests/init.pp,0,3,291,0,3,2,40,82,188,0,0,0
OPENSTACK,puppet-ceilometer/manifests/agent/polling.pp,0,5,347,1,16,2,69,95,128,0,1,0
OPENSTACK,puppet-ceilometer/manifests/agent/notification.pp,1,8,211,0,6,2,34,52,105,0,2,0
OPENSTACK,puppet-ceilometer/manifests/agent/service_credentials.pp,2,0,88,0,0,1,12,33,51,0,0,0
OPENSTACK,puppet-ceilometer/manifests/agent/polling/rgw.pp,0,0,31,0,0,1,5,9,18,0,0,0
OPENSTACK,puppet-ceilometer/manifests/agent/polling/service_types.pp,0,0,49,0,0,1,6,18,30,0,0,0
OPENSTACK,puppet-ceilometer/manifests/db/sync.pp,0,0,50,0,0,2,13,8,19,0,0,0
OPENSTACK,puppet-ceilometer/manifests/keystone/auth.pp,0,0,86,0,0,1,13,17,55,0,0,0
