org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
MOZILLA,make.mozilla.org/puppet/manifests/classes/postgis.pp,0,4,35,3,2,0,16,24,1,0,2,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/nodejs.pp,0,0,20,2,3,0,7,10,0,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/postgresql.pp,0,0,29,3,4,0,12,16,1,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/node_dependencies.pp,0,0,13,1,0,0,2,6,1,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/celery.pp,0,10,43,4,4,0,25,28,0,0,4,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/apache.pp,0,4,44,3,2,0,17,28,0,0,1,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/init.pp,0,0,25,1,2,0,6,11,4,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/app_users.pp,0,5,76,2,12,0,44,16,7,0,4,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/app.pp,0,4,51,5,0,0,23,19,1,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/memcached.pp,0,0,14,1,2,0,4,1,3,0,0,0
MOZILLA,make.mozilla.org/puppet/manifests/classes/git.pp,0,0,7,0,2,0,1,1,1,0,0,0
MOZILLA,minion-backend/puppet/modules/python/manifests/config.pp,0,0,23,0,1,0,5,7,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/manifests/requirements.pp,1,7,90,0,2,0,20,20,40,0,1,0
MOZILLA,minion-backend/puppet/modules/python/manifests/pip.pp,1,1,100,0,3,0,17,25,38,0,0,0
MOZILLA,minion-backend/puppet/modules/python/manifests/gunicorn.pp,0,1,72,0,5,0,12,17,49,0,1,0
MOZILLA,minion-backend/puppet/modules/python/manifests/install.pp,0,0,42,0,5,0,14,8,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/manifests/init.pp,0,0,55,0,0,2,5,10,36,0,0,0
MOZILLA,minion-backend/puppet/modules/python/manifests/virtualenv.pp,3,4,141,1,6,1,39,22,54,0,0,0
MOZILLA,minion-backend/puppet/modules/python/tests/requirements.pp,2,0,15,0,0,0,7,8,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/tests/pip.pp,1,0,10,0,0,0,5,5,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/tests/gunicorn.pp,0,0,15,0,1,0,10,9,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/tests/init.pp,0,0,5,0,0,0,3,2,0,0,0,0
MOZILLA,minion-backend/puppet/modules/python/tests/virtualenv.pp,1,0,13,0,1,0,8,6,0,0,0,0
MOZILLA,minion-backend/puppet/manifests/development.pp,0,0,70,5,6,2,22,37,0,0,0,0
MOZILLA,mozilla-badges/puppet/manifests/vagrant.pp,0,0,29,0,0,1,5,5,5,0,0,0
MOZILLA,mozilla-badges/puppet/manifests/classes/python.pp,0,0,34,3,2,0,9,20,1,0,0,0
MOZILLA,mozilla-badges/puppet/manifests/classes/playdoh.pp,0,3,39,4,1,0,15,20,4,0,0,0
MOZILLA,mozilla-badges/puppet/manifests/classes/custom.pp,0,0,3,0,0,0,0,0,1,0,0,0
